,REF_AREA,TIME_PERIOD,INDICATOR,AGE,SEX,OBS_VALUE
305,IND,2005,WT_ADLS_15-19_ED_NEET,Y15T19,M,8.6
306,IRN,2005,WT_ADLS_15-19_ED_NEET,Y15T19,M,17.6
307,IRN,2005,WT_ADLS_15-19_ED_NEET,Y15T19,_T,26.7
308,IRN,2005,WT_ADLS_15-19_ED_NEET,Y15T19,F,36.2
309,MEX,2005,WT_ADLS_15-19_ED_NEET,Y15T19,_T,17.6
310,MEX,2005,WT_ADLS_15-19_ED_NEET,Y15T19,F,26.1
311,MEX,2005,WT_ADLS_15-19_ED_NEET,Y15T19,M,8.9
312,MUS,2005,WT_ADLS_15-19_ED_NEET,Y15T19,M,17.7
313,MUS,2005,WT_ADLS_15-19_ED_NEET,Y15T19,_T,23.2
314,MUS,2005,WT_ADLS_15-19_ED_NEET,Y15T19,F,28.8
315,MWI,2005,WT_ADLS_15-19_ED_NEET,Y15T19,F,10.3
316,MWI,2005,WT_ADLS_15-19_ED_NEET,Y15T19,M,4.8
317,MWI,2005,WT_ADLS_15-19_ED_NEET,Y15T19,_T,7.5
318,NIC,2005,WT_ADLS_15-19_ED_NEET,Y15T19,_T,18.7
319,NIC,2005,WT_ADLS_15-19_ED_NEET,Y15T19,F,28.4
320,NIC,2005,WT_ADLS_15-19_ED_NEET,Y15T19,M,9.4
321,PER,2005,WT_ADLS_15-19_ED_NEET,Y15T19,M,19.1
322,PER,2005,WT_ADLS_15-19_ED_NEET,Y15T19,_T,21.1
323,PER,2005,WT_ADLS_15-19_ED_NEET,Y15T19,F,23.3
324,PRY,2005,WT_ADLS_15-19_ED_NEET,Y15T19,_T,13.5
325,PRY,2005,WT_ADLS_15-19_ED_NEET,Y15T19,F,19.4
326,PRY,2005,WT_ADLS_15-19_ED_NEET,Y15T19,M,8.1
327,PSE,2005,WT_ADLS_15-19_ED_NEET,Y15T19,M,15.5
328,PSE,2005,WT_ADLS_15-19_ED_NEET,Y15T19,_T,16.6
329,PSE,2005,WT_ADLS_15-19_ED_NEET,Y15T19,F,17.8
330,TUR,2005,WT_ADLS_15-19_ED_NEET,Y15T19,M,25.9
331,TUR,2005,WT_ADLS_15-19_ED_NEET,Y15T19,_T,37.2
332,TUR,2005,WT_ADLS_15-19_ED_NEET,Y15T19,F,49.3
333,URY,2005,WT_ADLS_15-19_ED_NEET,Y15T19,M,16
334,URY,2005,WT_ADLS_15-19_ED_NEET,Y15T19,_T,17.8
335,URY,2005,WT_ADLS_15-19_ED_NEET,Y15T19,F,19.7
336,USA,2005,WT_ADLS_15-19_ED_NEET,Y15T19,M,8.5
337,USA,2005,WT_ADLS_15-19_ED_NEET,Y15T19,_T,8.9
338,USA,2005,WT_ADLS_15-19_ED_NEET,Y15T19,F,9.2
339,VEN,2005,WT_ADLS_15-19_ED_NEET,Y15T19,M,13.2
340,VEN,2005,WT_ADLS_15-19_ED_NEET,Y15T19,_T,16.7
341,VEN,2005,WT_ADLS_15-19_ED_NEET,Y15T19,F,20.3
342,ZAF,2005,WT_ADLS_15-19_ED_NEET,Y15T19,M,14.8
343,ZAF,2005,WT_ADLS_15-19_ED_NEET,Y15T19,_T,16.5
344,ZAF,2005,WT_ADLS_15-19_ED_NEET,Y15T19,F,18.4
345,ARG,2006,WT_ADLS_15-19_ED_NEET,Y15T19,M,13.5
