,REF_AREA,TIME_PERIOD,INDICATOR,OBS_VALUE
260,ARM,2013,DM_NET_MG_RATE,-9.692
261,ASM,2013,DM_NET_MG_RATE,-29.292
262,ATG,2013,DM_NET_MG_RATE,1.765
263,AUS,2013,DM_NET_MG_RATE,9.327
264,AUT,2013,DM_NET_MG_RATE,6.684
265,AZE,2013,DM_NET_MG_RATE,0.238
266,BDI,2013,DM_NET_MG_RATE,-0.226
267,BEL,2013,DM_NET_MG_RATE,5.125
268,BEN,2013,DM_NET_MG_RATE,-0.087
269,BES,2013,DM_NET_MG_RATE,22.383
270,BFA,2013,DM_NET_MG_RATE,-1.885
271,BGD,2013,DM_NET_MG_RATE,-1.259
272,BGR,2013,DM_NET_MG_RATE,-2.049
273,BHR,2013,DM_NET_MG_RATE,21.81
274,BHS,2013,DM_NET_MG_RATE,2.601
275,BIH,2013,DM_NET_MG_RATE,-10.186
276,BLM,2013,DM_NET_MG_RATE,10.458
277,BLR,2013,DM_NET_MG_RATE,1.083
278,BLZ,2013,DM_NET_MG_RATE,4.372
279,BMU,2013,DM_NET_MG_RATE,-3.991
280,BOL,2013,DM_NET_MG_RATE,-1.058
281,BRA,2013,DM_NET_MG_RATE,0.175
282,BRB,2013,DM_NET_MG_RATE,-0.235
283,BRN,2013,DM_NET_MG_RATE,-0.959
284,BTN,2013,DM_NET_MG_RATE,-1.001
285,BWA,2013,DM_NET_MG_RATE,0.212
286,CAF,2013,DM_NET_MG_RATE,-23.187
287,CAN,2013,DM_NET_MG_RATE,6.94
288,CHE,2013,DM_NET_MG_RATE,10.425
289,CHL,2013,DM_NET_MG_RATE,2.091
290,CHN,2013,DM_NET_MG_RATE,-0.1
291,CIV,2013,DM_NET_MG_RATE,-6.587
292,CMR,2013,DM_NET_MG_RATE,-0.319
293,COD,2013,DM_NET_MG_RATE,1.649
294,COG,2013,DM_NET_MG_RATE,-5.084
295,COK,2013,DM_NET_MG_RATE,-16.332
296,COL,2013,DM_NET_MG_RATE,-1.398
297,COM,2013,DM_NET_MG_RATE,-2.532
298,CPV,2013,DM_NET_MG_RATE,-2.932
299,CRI,2013,DM_NET_MG_RATE,0.825
300,CUB,2013,DM_NET_MG_RATE,-1.351
301,CUW,2013,DM_NET_MG_RATE,7.742
302,CYM,2013,DM_NET_MG_RATE,16.764
303,CYP,2013,DM_NET_MG_RATE,3.801
304,CZE,2013,DM_NET_MG_RATE,-0.148
305,DEU,2013,DM_NET_MG_RATE,4.203
306,DJI,2013,DM_NET_MG_RATE,2.094
307,DMA,2013,DM_NET_MG_RATE,-6.446
308,DNK,2013,DM_NET_MG_RATE,3.701
309,DOM,2013,DM_NET_MG_RATE,-3.004
310,DZA,2013,DM_NET_MG_RATE,-0.931
311,ECU,2013,DM_NET_MG_RATE,-0.391
312,EGY,2013,DM_NET_MG_RATE,1.751
313,ERI,2013,DM_NET_MG_RATE,-10.269
314,ESP,2013,DM_NET_MG_RATE,-5.443
315,EST,2013,DM_NET_MG_RATE,-2.009
316,ETH,2013,DM_NET_MG_RATE,0.834
317,FIN,2013,DM_NET_MG_RATE,3.32
318,FJI,2013,DM_NET_MG_RATE,-11.97
319,FLK,2013,DM_NET_MG_RATE,18.586
320,FRA,2013,DM_NET_MG_RATE,0.577
321,FRO,2013,DM_NET_MG_RATE,-2.434
322,FSM,2013,DM_NET_MG_RATE,-14.27
323,GAB,2013,DM_NET_MG_RATE,10.345
324,GBR,2013,DM_NET_MG_RATE,4.178
325,GEO,2013,DM_NET_MG_RATE,-7.153
326,GHA,2013,DM_NET_MG_RATE,-0.087
327,GIB,2013,DM_NET_MG_RATE,-3.112
328,GIN,2013,DM_NET_MG_RATE,-2.633
329,GLP,2013,DM_NET_MG_RATE,-8.608
330,GMB,2013,DM_NET_MG_RATE,-1.169
331,GNB,2013,DM_NET_MG_RATE,-0.821
332,GNQ,2013,DM_NET_MG_RATE,14.659
333,GRC,2013,DM_NET_MG_RATE,-2.886
334,GRD,2013,DM_NET_MG_RATE,-1.623
335,GRL,2013,DM_NET_MG_RATE,-8.698
336,GTM,2013,DM_NET_MG_RATE,-2.31
337,GUF,2013,DM_NET_MG_RATE,3.783
338,GUM,2013,DM_NET_MG_RATE,-11.032
339,GUY,2013,DM_NET_MG_RATE,-9.205
340,HKG,2013,DM_NET_MG_RATE,3.397
341,HND,2013,DM_NET_MG_RATE,-0.68
342,HRV,2013,DM_NET_MG_RATE,-2.743
343,HTI,2013,DM_NET_MG_RATE,-2.953
344,HUN,2013,DM_NET_MG_RATE,0.535
345,IDN,2013,DM_NET_MG_RATE,-0.145
346,IMN,2013,DM_NET_MG_RATE,-3.275
347,IND,2013,DM_NET_MG_RATE,-0.183
348,IRL,2013,DM_NET_MG_RATE,-2.615
349,IRN,2013,DM_NET_MG_RATE,0.298
350,IRQ,2013,DM_NET_MG_RATE,13.95
351,ISL,2013,DM_NET_MG_RATE,5.1
352,ISR,2013,DM_NET_MG_RATE,1.379
353,ITA,2013,DM_NET_MG_RATE,2.563
354,JAM,2013,DM_NET_MG_RATE,-4.077
355,JOR,2013,DM_NET_MG_RATE,106.244
356,JPN,2013,DM_NET_MG_RATE,1.056
357,KAZ,2013,DM_NET_MG_RATE,0.468
358,KEN,2013,DM_NET_MG_RATE,-1.286
359,KGZ,2013,DM_NET_MG_RATE,-6.48
360,KHM,2013,DM_NET_MG_RATE,-3.112
361,KIR,2013,DM_NET_MG_RATE,-8.393
362,KNA,2013,DM_NET_MG_RATE,-3.991
363,KOR,2013,DM_NET_MG_RATE,5.77
364,KWT,2013,DM_NET_MG_RATE,53.555
365,LAO,2013,DM_NET_MG_RATE,-3.819
366,LBN,2013,DM_NET_MG_RATE,138.069
367,LBR,2013,DM_NET_MG_RATE,-4.956
368,LBY,2013,DM_NET_MG_RATE,4.313
369,LCA,2013,DM_NET_MG_RATE,0
370,LIE,2013,DM_NET_MG_RATE,5.315
371,LKA,2013,DM_NET_MG_RATE,-4.589
372,LSO,2013,DM_NET_MG_RATE,-3.106
373,LTU,2013,DM_NET_MG_RATE,-7.495
374,LUX,2013,DM_NET_MG_RATE,19.623
375,LVA,2013,DM_NET_MG_RATE,-6.135
376,MAC,2013,DM_NET_MG_RATE,10.244
377,MAF,2013,DM_NET_MG_RATE,-28.003
378,MAR,2013,DM_NET_MG_RATE,-1.981
379,MCO,2013,DM_NET_MG_RATE,27.467
380,MDA,2013,DM_NET_MG_RATE,-26.182
381,MDG,2013,DM_NET_MG_RATE,0.021
382,MDV,2013,DM_NET_MG_RATE,17.098
383,MEX,2013,DM_NET_MG_RATE,-0.867
384,MHL,2013,DM_NET_MG_RATE,-36.363
385,MKD,2013,DM_NET_MG_RATE,-0.826
386,MLI,2013,DM_NET_MG_RATE,-2.409
387,MLT,2013,DM_NET_MG_RATE,16.94
388,MMR,2013,DM_NET_MG_RATE,-1.241
389,MNE,2013,DM_NET_MG_RATE,-1.565
390,MNG,2013,DM_NET_MG_RATE,-0.536
391,MNP,2013,DM_NET_MG_RATE,-17.235
392,MOZ,2013,DM_NET_MG_RATE,0.89
393,MRT,2013,DM_NET_MG_RATE,-0.798
394,MSR,2013,DM_NET_MG_RATE,6.205
395,MTQ,2013,DM_NET_MG_RATE,-9.742
396,MUS,2013,DM_NET_MG_RATE,-2.424
397,MWI,2013,DM_NET_MG_RATE,-0.805
398,MYS,2013,DM_NET_MG_RATE,3.395
399,MYT,2013,DM_NET_MG_RATE,3.793
400,NAM,2013,DM_NET_MG_RATE,-3.884
401,NCL,2013,DM_NET_MG_RATE,6.753
402,NER,2013,DM_NET_MG_RATE,-0.137
403,NGA,2013,DM_NET_MG_RATE,0.061
404,NIC,2013,DM_NET_MG_RATE,-4.335
405,NIU,2013,DM_NET_MG_RATE,2.744
406,NLD,2013,DM_NET_MG_RATE,3.044
407,NOR,2013,DM_NET_MG_RATE,8.001
408,NPL,2013,DM_NET_MG_RATE,-13.532
409,NRU,2013,DM_NET_MG_RATE,-3.174
410,NZL,2013,DM_NET_MG_RATE,5.08
411,OMN,2013,DM_NET_MG_RATE,43.099
412,PAK,2013,DM_NET_MG_RATE,-9.24
413,PAN,2013,DM_NET_MG_RATE,1.552
414,PER,2013,DM_NET_MG_RATE,-3.163
415,PHL,2013,DM_NET_MG_RATE,-2.003
416,PLW,2013,DM_NET_MG_RATE,-2.804
417,PNG,2013,DM_NET_MG_RATE,4.288
418,POL,2013,DM_NET_MG_RATE,-0.715
419,PRI,2013,DM_NET_MG_RATE,-14.521
420,PRK,2013,DM_NET_MG_RATE,-0.117
421,PRT,2013,DM_NET_MG_RATE,-3.498
422,PRY,2013,DM_NET_MG_RATE,-2.866
423,PSE,2013,DM_NET_MG_RATE,-6.279
424,PYF,2013,DM_NET_MG_RATE,-6.88
425,QAT,2013,DM_NET_MG_RATE,69.971
426,REU,2013,DM_NET_MG_RATE,-6.307
